NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1501880,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,228,CPI,Scale,50,,,
373737,1930164,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1930164,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1811886,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1811886,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1227344,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1227344,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100,,,
373737,1784982,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1784982,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1498506,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1498506,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1400281,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
373737,1400281,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,244,CPI,Scale,100,,,
373737,1235577,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75,,,
373737,1235577,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1129564,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1129564,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,224,CPI,Scale,50,,,
373737,1209171,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100,,,
373737,1209171,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,5-A,Scaled Score,Scale,276,CPI,Scale,100,,,
373737,1460452,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,258,CPI,Scale,100,,,
373737,1460452,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1996604,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1996604,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,248,CPI,Scale,100,,,
373737,1232977,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1232977,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1042439,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,244,CPI,Scale,100,,,
373737,1042439,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1471371,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1471371,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,244,CPI,Scale,100,,,
